         TOF        Yobs        Ycal     YcalBad
     8305.28    68836.00    66385.00    26300.00
     8309.43    70729.00    66860.00    25340.00
     8313.60    65861.00    64622.00    24800.00
     8317.75    61167.00    60493.00    24830.00
     8321.90    57744.00    55467.00    25640.00
     8326.06    52798.00    50321.00    27420.00
     8330.23    48086.00    45547.00    30190.00
     8334.39    43378.00    41348.00    33860.00
     8338.56    40117.00    37753.00    37820.00
     8342.72    35874.00    34716.00    41300.00
     8346.91    31869.00    32158.00    43580.00
     8351.09    29742.00    30024.00    44250.00
     8355.25    27379.00    28268.00    43370.00
     8359.43    27474.00    26851.00    41350.00
     8363.61    24799.00    25792.00    38740.00
     8367.79    23745.00    25159.00    35980.00
     8371.97    25883.00    25089.00    33390.00
     8376.15    26589.00    25779.00    31080.00
     8380.35    27273.00    27428.00    29100.00
     8384.55    30307.00    30051.00    27410.00
     8388.74    32763.00    33571.00    26000.00
     8392.94    37001.00    37414.00    24820.00
     8397.13    40450.00    40838.00    23820.00
     8401.33    42276.00    43130.00    22990.00
     8405.52    42681.00    43881.00    22290.00
     8409.72    40860.00    43117.00    21700.00
     8413.93    41658.00    41204.00    21210.00
     8418.14    37973.00    38659.00    20790.00
     8422.34    34491.00    35952.00    20450.00
     8426.55    32824.00    33368.00    20160.00
     8430.78    30184.00    31055.00    19870.00
     8434.99    29921.00    29070.00    19670.00
     8439.20    27113.00    27388.00    19500.00
     8443.43    25307.00    25969.00    19360.00
     8447.65    25156.00    24780.00    19240.00
     8451.88    24476.00    23783.00    19150.00
     8456.10    23350.00    22948.00    19060.00
     8460.33    22655.00    22249.00    18990.00
     8464.56    22029.00    21663.00    18930.00
     8468.78    21376.00    21172.00    18880.00
     8473.01    21326.00    20761.00    18840.00
     8477.25    19808.00    20415.00    18810.00
     8481.49    20378.00    20126.00    18780.00
     8485.74    19876.00    19883.00    18750.00
     8489.98    20503.00    19634.00    18730.00
     8494.22    19683.00    19469.00    18710.00
     8498.48    19024.00    19331.00    18700.00
     8502.72    18653.00    19215.00    18680.00
     8506.96    19735.00    19118.00    18680.00
     8511.22    19312.00    19036.00    18670.00
     8515.47    19236.00    18967.00    18660.00
     8519.73    19218.00    18909.00    18650.00
     8523.99    18677.00    18860.00    18650.00
     8528.25    19170.00    18819.00    18640.00
     8532.52    19335.00    18784.00    18620.00
     8536.79    19715.00    18755.00    18620.00
     8541.05    19171.00    18730.00    18620.00
     8545.32    19227.00    18709.00    18620.00
     8549.59    19230.00    18691.00    18620.00
